2025-11-11 17:08:07,625 | INFO | FEATURES | Starting feature preparation...
2025-11-11 17:08:07,672 | INFO | FEATURES | Feature matrix prepared. X shape=(7043, 44), y shape=(7043,)
2025-11-11 17:08:23,835 | INFO | TRAIN |  Starting model training
2025-11-11 17:08:23,951 | INFO | PREPROCESSING |  Starting data cleaning
2025-11-11 17:08:23,958 | INFO | PREPROCESSING |  Cleaning complete. Shape: (7043, 20)
2025-11-11 17:08:23,959 | INFO | FEATURES | Starting feature preparation...
2025-11-11 17:08:23,994 | INFO | FEATURES | Feature matrix prepared. X shape=(7043, 44), y shape=(7043,)
2025-11-11 17:08:32,671 | INFO | TRAIN |  Model trained with accuracy=0.809
2025-11-11 17:12:41,018 | INFO | EVALUATE | Starting model evaluation...
2025-11-11 17:12:41,393 | INFO | EVALUATE | Evaluation complete: {'accuracy': 0.8238, 'precision': 0.723, 'recall': 0.5447, 'f1_score': 0.6213}
2025-11-11 17:20:51,032 | INFO | TRAIN | Starting model training...
2025-11-11 17:20:51,082 | INFO | PREPROCESSING |  Starting data cleaning
2025-11-11 17:20:51,091 | INFO | PREPROCESSING |  Cleaning complete. Shape: (7043, 20)
2025-11-11 17:20:51,091 | INFO | FEATURES | Starting feature preparation...
2025-11-11 17:20:51,133 | INFO | FEATURES | Feature matrix prepared. X shape=(7043, 44), y shape=(7043,)
2025-11-11 17:28:56,435 | INFO | TRAIN | Starting model training...
2025-11-11 17:28:56,511 | INFO | PREPROCESSING |  Starting data cleaning
2025-11-11 17:28:56,520 | INFO | PREPROCESSING |  Cleaning complete. Shape: (7043, 20)
2025-11-11 17:28:56,520 | INFO | FEATURES | Starting feature preparation...
2025-11-11 17:28:56,555 | INFO | FEATURES | Feature matrix prepared. X shape=(7043, 44), y shape=(7043,)
2025-11-11 17:28:56,966 | INFO | TRAIN | New MLflow run started (ID=2429f31fece64cafb481b26992e19ab5)
2025-11-11 17:29:06,003 | INFO | TRAIN | Run 'NEW MODEL INSTANCE' logged successfully with accuracy=0.8091
